n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_rev,annual_om,annual_ncf,npv_usd,irr_mean,payback_mean,lcoe_mean,per_connection,tech_mix_str
4,Buru Selatan,Namrole,15,0.8358,micro_hydro,3,1,new_build,0.136,6018,1448,382.3,382.2,1399623,2911214,2155419,blended_finance,4784989,3080871,573873,95700,478172,89738,0.0782,10.5,0.1827,3304,micro_hydro:4
1,Buru Selatan,Namrole,16,1.0,solar_biomass_hybrid,0,1,retrofit,0.273,305,101,26.7,26.7,71870,130804,101337,public_good,111592,214858,40022,2790,37232,267967,0.3326,3.0,0.0639,1104,solar_biomass_hybrid:1
2,Buru Selatan,Waesama,17,0.8906,solar_biomass_hybrid,0,2,retrofit,0.25,2702,605,159.7,159.7,451560,821838,636700,public_good,702174,1287215,239769,17555,222215,1563191,0.3186,3.5,0.0666,1160,solar_biomass_hybrid:2
9,Buru Selatan,Waesama,18,0.8622,micro_hydro,8,1,new_build,0.131,15830,3887,1026.2,1026.1,3765753,7832765,5799260,blended_finance,12872682,8270191,1540485,257454,1283031,207163,0.0778,10.6,0.1832,3311,micro_hydro:9
3,Kepulauan Aru,Aru Selatan,19,0.8924,solar_biomass_hybrid,0,3,retrofit,0.242,1761,488,128.8,128.9,322250,586495,454374,blended_finance,500765,1038267,193397,12519,180878,1343197,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:3
6,Kepulauan Aru,Aru Selatan,20,0.7531,solar_battery,0,6,retrofit,0.432,4145,1033,272.7,272.8,549625,992485,771055,blended_finance,1641272,2197825,409387,37566,371823,2149265,0.2397,4.7,0.0872,1588,solar_battery:4; solar_biomass_hybrid:1; wind_solar_hybrid:1
6,Kepulauan Aru,Aru Selatan Timur,21,0.7854,wind_solar_hybrid,0,6,retrofit,0.348,3103,821,216.7,216.8,542000,1106235,824117,blended_finance,1228325,1746670,325351,32911,292439,1752944,0.2432,4.7,0.0872,1496,wind_solar_hybrid:5; solar_biomass_hybrid:1
7,Kepulauan Aru,Aru Selatan Utara,22,0.8529,solar_biomass_hybrid,1,6,retrofit,0.234,4505,1314,346.9,346.9,867250,1578395,1222823,blended_finance,1348372,2795737,520760,33710,487052,3616867,0.3605,3.0,0.0594,1026,solar_biomass_hybrid:7
5,Kepulauan Aru,Aru Tengah,23,0.8142,solar_battery,2,3,retrofit,0.173,2646,788,208.0,208.1,390187,676325,533257,blended_finance,1295530,1676555,312291,28502,283789,1597560,0.2146,5.0,0.0928,1644,solar_battery:5
5,Kepulauan Aru,Aru Tengah,24,0.7481,solar_biomass_hybrid,3,2,new_build,0.2,4356,1282,338.4,338.4,846000,1539720,1192860,blended_finance,1315536,2727716,508091,32888,475202,3528907,0.3605,3.0,0.0594,1026,solar_biomass_hybrid:5
2,Kepulauan Aru,Aru Tengah Selatan,25,0.7177,solar_battery,0,2,retrofit,0.227,1018,316,83.4,83.5,182000,350740,266370,public_good,509498,672379,125244,12424,112819,640634,0.2172,5.0,0.0928,1612,solar_battery:1; wind_solar_hybrid:1
5,Kepulauan Aru,Aru Tengah Timur,26,0.7834,solar_battery,2,3,retrofit,0.164,2478,666,175.8,175.9,329812,571675,450743,blended_finance,1094953,1416969,263937,24089,239849,1350188,0.2145,5.0,0.0928,1644,solar_battery:5
3,Kepulauan Aru,Aru Tengah Timur,27,0.7866,solar_biomass_hybrid,2,1,new_build,0.167,1835,480,126.7,126.8,317000,576940,446971,blended_finance,492556,1021261,190231,12314,177915,1321208,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:3
4,Kepulauan Aru,Aru Utara,28,0.8671,wind_solar_hybrid,0,4,retrofit,0.239,3709,1014,267.7,267.7,669250,1392040,1030645,blended_finance,1601055,2157367,401852,43229,358623,2054927,0.2198,5.0,0.0928,1578,wind_solar_hybrid:4
6,Kepulauan Aru,Aru Utara,29,0.6221,solar_biomass_hybrid,4,2,new_build,0.167,3223,860,227.0,227.1,517658,947691,732673,blended_finance,1177713,1829840,340843,28091,312752,2010636,0.2864,4.0,0.0769,1369,solar_biomass_hybrid:3; solar_battery:2; wind_solar_hybrid:1
7,Kepulauan Aru,Aru Utara Timur Batuley,30,0.7513,solar_battery,2,5,retrofit,0.182,4591,1287,339.8,339.8,653438,1138280,895859,blended_finance,2054749,2738354,510072,45509,464562,2681233,0.2354,4.7,0.088,1596,solar_battery:6; solar_biomass_hybrid:1
5,Kepulauan Aru,Pulau-Pulau Aru,31,0.7638,solar_biomass_hybrid,3,2,new_build,0.155,2458,696,183.7,183.7,443562,803205,623382,blended_finance,772909,1480879,275842,18853,256988,1846955,0.3313,3.4,0.0661,1110,solar_biomass_hybrid:4; solar_battery:1
4,Kepulauan Aru,Sir-Sir,32,0.6924,solar_biomass_hybrid,2,2,retrofit,0.17,1970,545,143.9,143.9,344375,622765,483571,blended_finance,616723,1159558,215990,14960,201031,1432684,0.324,3.5,0.0678,1131,solar_biomass_hybrid:3; solar_battery:1
1,Kepulauan Aru,Sir-Sir,33,1.0,solar_biomass_hybrid,1,0,new_build,0.136,695,194,51.2,51.2,128000,232960,180480,public_good,199075,412792,76891,4977,71914,534049,0.3605,3.0,0.0594,1026,solar_biomass_hybrid:1
2,Kepulauan Tanimbar,Fordata,34,0.8609,solar_biomass_hybrid,0,2,retrofit,0.5,3031,877,231.5,231.5,598651,1089545,844098,public_good,930889,1865866,347554,23272,324282,2374998,0.347,3.0,0.0615,1061,solar_biomass_hybrid:2
4,Kepulauan Tanimbar,Fordata,35,0.8733,solar_biomass_hybrid,0,4,retrofit,0.25,2741,837,221.0,220.9,581616,1058541,820079,blended_finance,904566,1780841,331716,22615,309103,2246575,0.3433,3.0,0.0621,1080,solar_biomass_hybrid:4
2,Kepulauan Tanimbar,Kormomolin,36,0.8516,solar_biomass_hybrid,1,1,retrofit,0.159,1996,612,161.6,161.6,410226,746611,578418,public_good,637687,1302044,242531,15942,226589,1672273,0.3547,3.0,0.0603,1041,solar_biomass_hybrid:2
3,Kepulauan Tanimbar,Molu Maru,37,0.8338,solar_biomass_hybrid,1,2,retrofit,0.242,2626,711,187.7,187.8,473149,861131,667140,blended_finance,735269,1512712,281772,18382,263391,1949862,0.3577,3.0,0.0598,1034,solar_biomass_hybrid:3
2,Kepulauan Tanimbar,Nirunmas,38,0.946,solar_biomass_hybrid,0,2,retrofit,0.205,5437,1577,416.3,416.3,1054626,1919421,1487023,public_good,1639829,3355287,624987,40995,583992,4313672,0.3553,3.0,0.0602,1039,solar_biomass_hybrid:2
3,Kepulauan Tanimbar,Selaru,39,0.9031,solar_battery,0,3,retrofit,0.303,3374,877,231.5,231.5,434063,752375,593219,blended_finance,1441853,1865947,347569,31721,315848,1778059,0.2146,5.0,0.0928,1644,solar_battery:3
1,Kepulauan Tanimbar,Tanimbar Selatan,40,1.0,wind_solar_hybrid,0,1,retrofit,0.182,3790,1018,268.8,268.8,672000,1397760,1034880,public_good,1607371,2165910,403443,43399,360044,2063095,0.2198,5.0,0.0928,1578,wind_solar_hybrid:1
1,Kepulauan Tanimbar,Tanimbar Selatan,41,1.0,wind_solar_hybrid,0,1,retrofit,0.318,654,160,42.2,42.2,105500,219440,162470,public_good,252632,340421,63410,6821,56589,324263,0.2198,5.0,0.0928,1578,wind_solar_hybrid:1
2,Kepulauan Tanimbar,Tanimbar Utara,42,0.6609,solar_battery,0,2,retrofit,0.295,2999,941,248.4,248.4,520500,921180,720840,public_good,1341926,2002147,372939,30544,342395,2148612,0.2875,4.0,0.0761,1426,solar_biomass_hybrid:1; solar_battery:1
3,Kepulauan Tanimbar,Wermaktian,43,0.7253,wind_solar_hybrid,2,1,new_build,0.152,3747,988,260.8,260.8,652000,1304680,978340,blended_finance,1394165,2102162,391569,37026,354543,2220210,0.2667,4.3,0.0817,1411,wind_solar_hybrid:2; solar_biomass_hybrid:1
6,Kepulauan Tanimbar,Wertamrian,44,0.7867,solar_biomass_hybrid,1,5,retrofit,0.22,8481,2389,630.7,630.7,1712445,3268242,2490344,blended_finance,3749196,5082775,946766,83762,863003,5048687,0.3137,4.0,0.0765,1569,solar_biomass_hybrid:5; micro_hydro:1
6,Kepulauan Tanimbar,Wuar Labobar,45,0.7895,solar_biomass_hybrid,2,4,retrofit,0.152,6240,1608,424.5,424.6,1065693,1994486,1530090,blended_finance,1833475,3421210,637268,46846,590419,4185557,0.3351,3.3,0.0653,1140,solar_biomass_hybrid:5; wind_solar_hybrid:1
1,Kota Ambon,Nusaniwe,46,1.0,wind_solar_hybrid,0,1,retrofit,0.818,3667,1233,325.5,325.5,813750,1692600,1253175,public_good,1946845,2623350,488650,52565,436085,2498824,0.2198,5.0,0.0928,1578,wind_solar_hybrid:1
2,Kota Tual,Kur Selatan,47,0.9059,solar_biomass_hybrid,2,0,new_build,0.136,1138,281,74.2,74.1,189028,344030,266530,public_good,294232,597831,111357,7356,104002,766015,0.3508,3.0,0.061,1047,solar_biomass_hybrid:2
5,Kota Tual,Kur Selatan,48,0.8929,solar_biomass_hybrid,0,5,retrofit,0.318,3001,778,205.4,205.3,536934,977221,757078,blended_finance,835196,1655279,308327,20880,287448,2095193,0.343,3.0,0.0621,1073,solar_biomass_hybrid:5
3,Kota Tual,Pulau-Pulau Kur,49,0.7552,solar_biomass_hybrid,0,3,retrofit,0.409,1971,566,149.4,149.4,345836,620018,482927,blended_finance,729606,1204205,224307,17158,207148,1382170,0.3062,3.7,0.0722,1289,solar_biomass_hybrid:2; solar_battery:1
5,Kota Tual,Tayando Tam,50,0.7862,solar_biomass_hybrid,1,4,retrofit,0.218,8779,2389,630.7,630.7,1576750,2869685,2223218,blended_finance,2451493,5082937,946796,61287,885509,6575822,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:5
3,Maluku Barat Daya,Babar Barat,51,0.9386,solar_biomass_hybrid,0,3,retrofit,0.197,1158,301,79.5,79.4,263633,479812,371722,blended_finance,410217,640465,119299,10255,109044,701427,0.264,4.3,0.0788,1362,solar_biomass_hybrid:3
3,Maluku Barat Daya,Babar Barat,52,0.7976,wind_solar_hybrid,0,3,retrofit,0.288,2910,823,217.3,217.3,567024,1179410,873216,blended_finance,1356343,1751023,326163,36621,289542,1595379,0.2109,5.0,0.0961,1648,wind_solar_hybrid:3
4,Maluku Barat Daya,Damer,53,0.8681,solar_biomass_hybrid,0,4,retrofit,0.227,3481,969,255.8,255.8,711455,1294848,1003152,blended_finance,1106235,2061706,384033,27656,356377,2526846,0.3235,3.8,0.0656,1141,solar_biomass_hybrid:4
6,Maluku Barat Daya,Dawelor Dawera,54,0.8203,solar_battery,0,6,retrofit,0.273,1673,508,134.1,134.0,292571,515396,403981,blended_finance,803655,1080900,201339,18127,183212,1064100,0.2432,4.7,0.0872,1581,solar_battery:4; solar_biomass_hybrid:2
3,Maluku Barat Daya,Kepulauan Roma,55,0.7898,solar_biomass_hybrid,0,3,retrofit,0.333,5101,1390,367.0,366.9,1014339,1846097,1430219,blended_finance,1577340,2957324,550860,39434,511426,3636386,0.3204,4.0,0.0662,1134,solar_biomass_hybrid:3
2,Maluku Barat Daya,Mdona Hyera,56,0.8144,solar_battery,0,2,retrofit,0.409,2379,689,181.9,181.9,353253,612305,482778,public_good,1173237,1465888,273050,25811,247239,1347239,0.2054,5.0,0.0963,1702,solar_battery:2
3,Maluku Barat Daya,Mdona Hyera,57,0.9404,solar_biomass_hybrid,0,3,retrofit,0.515,1431,413,109.0,109.0,291982,531408,411696,blended_finance,454104,878694,163673,11352,152321,1098736,0.3341,3.0,0.0637,1099,solar_biomass_hybrid:3
4,Maluku Barat Daya,Mdona Hyera,58,0.8953,solar_biomass_hybrid,0,4,retrofit,0.273,1787,519,137.0,137.0,360695,656465,508580,blended_finance,560874,1104271,205692,14022,191671,1393107,0.3417,3.2,0.0624,1080,solar_biomass_hybrid:4
2,Maluku Barat Daya,Moa,59,0.8898,wind_solar_hybrid,0,2,retrofit,0.386,1654,459,121.2,121.2,303000,630240,466620,public_good,724738,976533,181898,19567,162331,930138,0.2198,5.0,0.0928,1578,wind_solar_hybrid:2
2,Maluku Barat Daya,Moa,60,0.8549,wind_solar_hybrid,0,2,retrofit,0.432,6693,1775,468.6,468.6,1171500,2436720,1804110,public_good,2802635,3776541,703454,75671,627783,3597298,0.2198,5.0,0.0928,1578,wind_solar_hybrid:2
5,Maluku Barat Daya,Pulau Lakor,61,0.8174,solar_battery,0,5,retrofit,0.273,3230,898,237.1,237.1,501187,947245,724216,blended_finance,1454041,1910515,355870,34698,321174,1820163,0.2156,5.0,0.0928,1619,solar_battery:4; wind_solar_hybrid:1
11,Maluku Barat Daya,Pulau Masela,62,0.8475,solar_biomass_hybrid,0,11,retrofit,0.393,3184,994,262.4,262.4,635408,1150529,892968,blended_finance,1108628,2114735,393910,27037,366875,2631482,0.3454,3.2,0.0627,1115,solar_biomass_hybrid:10; solar_battery:1
6,Maluku Barat Daya,Pulau Wetang,63,0.8003,solar_battery,0,6,retrofit,0.258,1871,549,144.9,144.9,290515,519269,404892,blended_finance,923033,1168099,217580,20848,196732,1082559,0.2071,5.0,0.0959,1681,solar_battery:5; wind_solar_hybrid:1
8,Maluku Barat Daya,Pulau-Pulau Babar Timur,64,0.909,wind_solar_hybrid,0,8,retrofit,0.335,4718,1350,356.4,356.5,923270,1920399,1421834,blended_finance,2208172,2872299,535023,59621,475400,2638300,0.2107,5.0,0.0961,1635,wind_solar_hybrid:8
1,Maluku Barat Daya,Wetar Barat,65,1.0,wind_solar_hybrid,0,1,retrofit,0.273,584,142,37.5,37.5,114362,237873,176118,public_good,273506,302139,56279,7385,48895,224951,0.1712,6.0,0.1132,1926,wind_solar_hybrid:1
2,Maluku Barat Daya,Wetar Selatan,66,0.9476,solar_biomass_hybrid,0,2,retrofit,0.364,1100,296,78.1,78.2,244793,445525,345158,public_good,380330,629826,117317,9508,107809,718730,0.2816,4.0,0.0743,1284,solar_biomass_hybrid:2
4,Maluku Barat Daya,Wetar Timur,67,0.9098,solar_biomass_hybrid,0,4,retrofit,0.239,1662,442,116.7,116.7,338038,615230,476634,blended_finance,525514,940428,175174,13139,162035,1126353,0.3086,4.0,0.0685,1188,solar_biomass_hybrid:4
1,Maluku Tengah,Amahai,68,1.0,solar_battery,0,1,retrofit,0.773,2058,590,155.8,155.8,292125,506350,399238,public_good,970004,1255301,233824,21340,212484,1196165,0.2146,5.0,0.0928,1644,solar_battery:1
1,Maluku Tengah,Amahai,69,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,593,151,39.9,39.9,122368,222710,172539,public_good,190085,321240,59837,4752,55085,371479,0.288,4.0,0.0728,1258,solar_biomass_hybrid:1
3,Maluku Tengah,Banda,70,0.7533,solar_biomass_hybrid,0,3,retrofit,0.333,2920,883,233.1,233.1,606969,1104685,855828,blended_finance,943744,1878680,349941,23594,326347,2383200,0.3374,3.3,0.0632,1068,solar_biomass_hybrid:3
1,Maluku Tengah,Banda,71,1.0,solar_biomass_hybrid,0,1,retrofit,0.682,1726,537,141.8,141.8,382727,696564,539646,public_good,594925,1142553,212823,14873,197950,1423071,0.3316,4.0,0.0641,1107,solar_biomass_hybrid:1
2,Maluku Tengah,Leihitu,72,0.8864,wind_solar_hybrid,0,2,retrofit,0.545,11273,3064,808.9,808.9,2479608,5157584,3818596,public_good,5932057,6519086,1214307,160165,1054142,4814382,0.1699,6.0,0.1139,1936,wind_solar_hybrid:2
2,Maluku Tengah,Leihitu Barat,73,0.7937,wind_solar_hybrid,0,2,retrofit,0.273,9000,2468,651.6,651.6,1908469,3969616,2939043,public_good,4565393,5250972,978096,123266,854831,4149168,0.1819,6.0,0.1081,1849,wind_solar_hybrid:2
5,Maluku Tengah,Nusa Laut,74,0.884,solar_biomass_hybrid,0,5,retrofit,0.318,2606,917,242.1,242.0,656949,1195647,926299,blended_finance,1021792,1950972,363407,25544,337862,2422536,0.3295,3.4,0.0645,1114,solar_biomass_hybrid:5
1,Maluku Tengah,Nusa Laut,75,1.0,solar_biomass_hybrid,0,1,retrofit,0.545,1984,641,169.2,169.2,458591,834635,646613,public_good,713112,1363778,254030,17828,236202,1694852,0.3301,4.0,0.0644,1112,solar_biomass_hybrid:1
4,Maluku Tengah,Pulau Haruku,76,0.7854,solar_biomass_hybrid,0,4,retrofit,0.352,5549,1802,475.7,475.8,1243282,2262771,1753027,blended_finance,1932745,3834004,714158,48319,665839,4855148,0.3407,3.2,0.0626,1072,solar_biomass_hybrid:4
1,Maluku Tengah,Saparua,77,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1196,372,98.2,98.2,246468,448571,347520,public_good,383236,791494,147431,9581,137850,1022078,0.3589,3.0,0.0596,1030,solar_biomass_hybrid:1
4,Maluku Tengah,Seram Utara,78,0.6711,solar_biomass_hybrid,0,4,retrofit,0.557,3637,1014,267.7,267.7,638443,1153467,895954,blended_finance,1165797,2157448,401867,28169,373698,2643869,0.323,3.5,0.0679,1149,solar_biomass_hybrid:3; solar_battery:1
1,Maluku Tengah,Seram Utara,79,1.0,micro_hydro,1,0,new_build,0.091,598,151,39.9,39.9,127158,264488,195823,public_good,434250,321240,59837,8685,51152,87220,0.1004,9.0,0.1596,2875,micro_hydro:1
1,Maluku Tengah,Seram Utara,80,1.0,micro_hydro,0,1,retrofit,0.364,4101,1066,281.4,281.4,901422,1874958,1388190,public_good,3081444,2268020,422463,61629,360834,597077,0.0995,9.0,0.1604,2890,micro_hydro:1
7,Maluku Tengah,Seram Utara Barat,81,0.7817,micro_hydro,3,4,retrofit,0.162,8482,2367,624.9,624.8,2083918,4334547,3209233,blended_finance,7124064,5036111,938075,142481,795593,986605,0.0914,9.4,0.1686,3009,micro_hydro:7
4,Maluku Tengah,Seram Utara Barat,82,0.7584,solar_biomass_hybrid,0,4,retrofit,0.295,2331,679,179.3,179.3,449109,817379,633244,blended_finance,698096,1444692,269102,17453,251650,1867345,0.3595,3.0,0.0596,1028,solar_biomass_hybrid:4
1,Maluku Tengah,Seram Utara Timur Kobi,83,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,728,241,63.6,63.6,159000,289380,224190,public_good,247304,512726,95505,6183,89323,663295,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:1
1,Maluku Tengah,Seram Utara Timur Seti,84,1.0,solar_biomass_hybrid,0,1,retrofit,0.636,594,185,48.8,48.8,122000,222040,172020,public_good,189839,393611,73318,4746,68572,509216,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:1
1,Maluku Tengah,Tehoru,85,1.0,micro_hydro,0,1,retrofit,0.227,515,152,40.1,40.1,144726,301031,222878,public_good,495039,323416,60242,9901,50342,18169,0.0798,10.0,0.1808,3256,micro_hydro:1
3,Maluku Tengah,Teluk Elpaputih,86,0.8315,micro_hydro,0,3,retrofit,0.227,8475,2386,629.9,630.0,2182400,4539391,3360895,blended_finance,7458597,5076571,945611,149172,796439,660688,0.0861,10.0,0.1739,3125,micro_hydro:3
1,Maluku Tengah,Telutih,87,1.0,micro_hydro,0,1,retrofit,0.273,958,233,61.5,61.5,202226,420631,311428,public_good,691372,495721,92338,13827,78510,109001,0.0951,9.0,0.1647,2967,micro_hydro:1
1,Maluku Tenggara,Kei Besar,88,1.0,solar_biomass_hybrid,0,1,retrofit,0.409,205,49,12.9,12.9,34027,61930,47978,public_good,53053,104286,19425,1326,18099,131457,0.3402,3.0,0.0626,1082,solar_biomass_hybrid:1
6,Maluku Tenggara,Kei Besar Selatan,89,0.9149,solar_biomass_hybrid,0,6,retrofit,0.22,3664,975,257.4,257.3,706991,1286720,996855,blended_finance,1099650,2074439,386406,27492,358914,2559290,0.3248,3.8,0.0654,1127,solar_biomass_hybrid:6
7,Maluku Tenggara,Kei Besar Selatan Barat,90,0.8245,solar_biomass_hybrid,0,7,retrofit,0.344,2671,699,184.5,184.5,526804,958784,742793,blended_finance,819216,1487244,277028,20480,256548,1796161,0.3173,3.9,0.0668,1171,solar_biomass_hybrid:7
1,Maluku Tenggara,Kei Kecil,91,1.0,solar_biomass_hybrid,0,1,retrofit,0.364,702,176,46.5,46.5,116250,211575,163912,public_good,180604,374430,69745,4515,65230,484381,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:1
10,Maluku Tenggara,Kei Kecil Timur,92,0.875,wind_solar_hybrid,0,10,retrofit,0.441,6044,1727,455.9,455.9,1139750,2370680,1755215,blended_finance,2726845,3674431,684434,73625,610809,3500048,0.2198,5.0,0.0928,1578,wind_solar_hybrid:10
2,Maluku Tenggara,Kei Kecil Timur,93,0.7868,solar_battery,0,2,retrofit,0.636,800,224,59.1,59.1,133744,239643,186694,public_good,285004,476540,88764,6691,82074,551698,0.2864,4.0,0.0762,1272,solar_biomass_hybrid:1; solar_battery:1
4,Maluku Tenggara,Kei Kecil Timur,94,0.8351,solar_biomass_hybrid,0,4,retrofit,0.375,2559,713,188.2,188.2,470500,856310,663406,blended_finance,731652,1516984,282568,18291,264276,1962512,0.3604,3.0,0.0594,1026,solar_biomass_hybrid:4
1,Maluku Tenggara,Kei Kecil Timur Selatan,95,1.0,wind_solar_hybrid,0,1,retrofit,0.318,359,93,24.6,24.6,61500,127920,94710,public_good,146842,197853,36854,3965,32889,188448,0.2198,5.0,0.0928,1578,wind_solar_hybrid:1
3,Seram Bagian Barat,Amalatu,96,0.8624,micro_hydro,1,2,retrofit,0.167,7328,2013,531.4,531.4,1960613,4078077,3019344,blended_finance,6702060,4282900,797774,134041,663733,64357,0.0765,10.7,0.1847,3329,micro_hydro:3
3,Seram Bagian Barat,Amalatu,97,0.7136,solar_biomass_hybrid,1,2,retrofit,0.197,2626,678,179.0,179.0,525562,994929,760245,blended_finance,1092323,1442597,268712,24784,243928,1394401,0.2435,6.0,0.101,1611,solar_biomass_hybrid:2; micro_hydro:1
1,Seram Bagian Barat,Amalatu,98,1.0,micro_hydro,0,1,retrofit,0.273,5004,1385,365.6,365.6,1211037,2518957,1864997,public_good,4139939,2946766,548893,82799,466094,611651,0.0939,9.0,0.1659,2989,micro_hydro:1
6,Seram Bagian Barat,Elpaputih,99,0.8314,micro_hydro,1,5,retrofit,0.205,5870,1501,396.3,396.2,1411743,2936428,2174085,blended_finance,4826319,3193539,594858,96526,498332,253929,0.0807,10.3,0.1798,3215,micro_hydro:6
1,Seram Bagian Barat,Huamual,100,1.0,solar_battery,0,1,retrofit,0.591,1097,298,78.7,78.7,150878,261522,206200,public_good,500942,634017,118098,11021,107077,590657,0.2089,5.0,0.0949,1681,solar_battery:1
2,Seram Bagian Barat,Huamual Belakang,101,0.8116,solar_biomass_hybrid,0,2,retrofit,0.273,6011,1498,395.5,395.4,1149249,2091634,1620441,public_good,1787163,3187172,593673,44679,548994,3809551,0.3049,4.0,0.0692,1193,solar_biomass_hybrid:2
1,Seram Bagian Barat,Huamual Belakang,102,1.0,micro_hydro,0,1,retrofit,0.5,1366,363,95.8,95.8,309747,644275,477011,public_good,1059112,772313,143858,21182,122676,191509,0.098,9.0,0.1619,2917,micro_hydro:1
1,Seram Bagian Barat,Huamual Belakang,103,1.0,micro_hydro,0,1,retrofit,0.273,9029,2173,573.7,573.7,2024841,4211669,3118255,public_good,6920838,4623321,861184,138417,722767,447405,0.0834,10.0,0.1768,3184,micro_hydro:1
2,Seram Bagian Barat,Inamosol,104,0.96,micro_hydro,0,2,retrofit,0.227,2227,555,146.5,146.5,509125,1058979,784052,public_good,1740497,1180834,219953,34810,185144,146946,0.086,10.0,0.174,3136,micro_hydro:2
6,Seram Bagian Barat,Taniwel,105,0.8348,micro_hydro,0,6,retrofit,0.25,10247,2583,681.9,681.9,2357919,4904470,3631194,blended_finance,8059845,5495730,1023687,161196,862489,732802,0.0869,10.0,0.1731,3120,micro_hydro:6
