kode_desa,bundle_id,bundle_bcs,bundle_size,bundle_exit,bundle_kabupaten,bundle_kecamatan,bundle_tech_dom,bundle_interv_type,bundle_pop_2026,bundle_hh_2026,bundle_capex_mid
81.09.01.2011,15,0.8358,4,blended_finance,Buru Selatan,Namrole,micro_hydro,new_build,6018,1448,4790754
81.09.01.2017,16,1.0,1,public_good,Buru Selatan,Namrole,solar_biomass_hybrid,retrofit,305,101,404968
81.09.02.2001,17,0.8906,2,public_good,Buru Selatan,Waesama,solar_biomass_hybrid,retrofit,2702,605,2547208
81.09.02.2011,17,0.8906,2,public_good,Buru Selatan,Waesama,solar_biomass_hybrid,retrofit,2702,605,2547208
81.09.02.2002,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2003,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2004,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2005,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2006,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2007,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2008,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2009,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.09.02.2010,18,0.8622,9,blended_finance,Buru Selatan,Waesama,micro_hydro,new_build,15830,3887,12888217
81.07.02.2026,19,0.8924,3,blended_finance,Kepulauan Aru,Aru Selatan,solar_biomass_hybrid,retrofit,1761,488,1816786
81.07.02.2029,19,0.8924,3,blended_finance,Kepulauan Aru,Aru Selatan,solar_biomass_hybrid,retrofit,1761,488,1816786
81.07.02.2031,19,0.8924,3,blended_finance,Kepulauan Aru,Aru Selatan,solar_biomass_hybrid,retrofit,1761,488,1816786
81.07.02.2001,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.02.2003,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.02.2004,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.02.2006,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.02.2008,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.02.2027,20,0.7531,6,blended_finance,Kepulauan Aru,Aru Selatan,solar_battery,retrofit,4145,1033,4013172
81.07.09.2002,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.09.2003,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.09.2004,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.09.2005,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.09.2006,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.09.2009,21,0.7854,6,blended_finance,Kepulauan Aru,Aru Selatan Timur,wind_solar_hybrid,retrofit,3103,821,3682658
81.07.10.2001,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2002,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2003,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2004,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2005,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2006,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.10.2007,22,0.8529,7,blended_finance,Kepulauan Aru,Aru Selatan Utara,solar_biomass_hybrid,retrofit,4505,1314,4891289
81.07.03.2003,23,0.8142,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_battery,retrofit,2646,788,2961738
81.07.03.2008,23,0.8142,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_battery,retrofit,2646,788,2961738
81.07.03.2009,23,0.8142,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_battery,retrofit,2646,788,2961738
81.07.03.2030,23,0.8142,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_battery,retrofit,2646,788,2961738
81.07.03.2031,23,0.8142,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_battery,retrofit,2646,788,2961738
81.07.03.2006,24,0.7481,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_biomass_hybrid,new_build,4356,1282,4772145
81.07.03.2033,24,0.7481,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_biomass_hybrid,new_build,4356,1282,4772145
81.07.03.2037,24,0.7481,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_biomass_hybrid,new_build,4356,1282,4772145
81.07.03.2043,24,0.7481,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_biomass_hybrid,new_build,4356,1282,4772145
81.07.03.2045,24,0.7481,5,blended_finance,Kepulauan Aru,Aru Tengah,solar_biomass_hybrid,new_build,4356,1282,4772145
81.07.08.2006,25,0.7177,2,public_good,Kepulauan Aru,Aru Tengah Selatan,solar_battery,retrofit,1018,316,1320330
81.07.08.2007,25,0.7177,2,public_good,Kepulauan Aru,Aru Tengah Selatan,solar_battery,retrofit,1018,316,1320330
81.07.07.2001,26,0.7834,5,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_battery,retrofit,2478,666,2503051
81.07.07.2008,26,0.7834,5,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_battery,retrofit,2478,666,2503051
81.07.07.2009,26,0.7834,5,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_battery,retrofit,2478,666,2503051
81.07.07.2011,26,0.7834,5,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_battery,retrofit,2478,666,2503051
81.07.07.2013,26,0.7834,5,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_battery,retrofit,2478,666,2503051
81.07.07.2004,27,0.7866,3,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_biomass_hybrid,new_build,1835,480,1786824
81.07.07.2010,27,0.7866,3,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_biomass_hybrid,new_build,1835,480,1786824
81.07.07.2012,27,0.7866,3,blended_finance,Kepulauan Aru,Aru Tengah Timur,solar_biomass_hybrid,new_build,1835,480,1786824
81.07.04.2001,28,0.8671,4,blended_finance,Kepulauan Aru,Aru Utara,wind_solar_hybrid,retrofit,3709,1014,4684680
81.07.04.2002,28,0.8671,4,blended_finance,Kepulauan Aru,Aru Utara,wind_solar_hybrid,retrofit,3709,1014,4684680
81.07.04.2005,28,0.8671,4,blended_finance,Kepulauan Aru,Aru Utara,wind_solar_hybrid,retrofit,3709,1014,4684680
81.07.04.2007,28,0.8671,4,blended_finance,Kepulauan Aru,Aru Utara,wind_solar_hybrid,retrofit,3709,1014,4684680
81.07.04.2004,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.04.2006,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.04.2008,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.04.2009,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.04.2010,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.04.2013,29,0.6221,6,blended_finance,Kepulauan Aru,Aru Utara,solar_biomass_hybrid,new_build,3223,860,3365321
81.07.05.2001,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2002,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2003,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2004,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2006,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2008,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.05.2009,30,0.7513,7,blended_finance,Kepulauan Aru,Aru Utara Timur Batuley,solar_battery,retrofit,4591,1287,4833516
81.07.01.2003,31,0.7638,5,blended_finance,Kepulauan Aru,Pulau-Pulau Aru,solar_biomass_hybrid,new_build,2458,696,2594273
81.07.01.2004,31,0.7638,5,blended_finance,Kepulauan Aru,Pulau-Pulau Aru,solar_biomass_hybrid,new_build,2458,696,2594273
81.07.01.2005,31,0.7638,5,blended_finance,Kepulauan Aru,Pulau-Pulau Aru,solar_biomass_hybrid,new_build,2458,696,2594273
81.07.01.2006,31,0.7638,5,blended_finance,Kepulauan Aru,Pulau-Pulau Aru,solar_biomass_hybrid,new_build,2458,696,2594273
81.07.01.2007,31,0.7638,5,blended_finance,Kepulauan Aru,Pulau-Pulau Aru,solar_biomass_hybrid,new_build,2458,696,2594273
81.07.06.2006,32,0.6924,4,blended_finance,Kepulauan Aru,Sir-Sir,solar_biomass_hybrid,retrofit,1970,545,2032359
81.07.06.2007,32,0.6924,4,blended_finance,Kepulauan Aru,Sir-Sir,solar_biomass_hybrid,retrofit,1970,545,2032359
81.07.06.2008,32,0.6924,4,blended_finance,Kepulauan Aru,Sir-Sir,solar_biomass_hybrid,retrofit,1970,545,2032359
81.07.06.2009,32,0.6924,4,blended_finance,Kepulauan Aru,Sir-Sir,solar_biomass_hybrid,retrofit,1970,545,2032359
81.07.06.2010,33,1.0,1,public_good,Kepulauan Aru,Sir-Sir,solar_biomass_hybrid,new_build,695,194,722272
81.03.06.2001,34,0.8609,2,public_good,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,3031,877,3376765
81.03.06.2004,34,0.8609,2,public_good,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,3031,877,3376765
81.03.06.2002,35,0.8733,4,blended_finance,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,2741,837,3281794
81.03.06.2003,35,0.8733,4,blended_finance,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,2741,837,3281794
81.03.06.2005,35,0.8733,4,blended_finance,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,2741,837,3281794
81.03.06.2006,35,0.8733,4,blended_finance,Kepulauan Tanimbar,Fordata,solar_biomass_hybrid,retrofit,2741,837,3281794
81.03.08.2008,36,0.8516,2,public_good,Kepulauan Tanimbar,Kormomolin,solar_biomass_hybrid,retrofit,1996,612,2312958
81.03.08.2009,36,0.8516,2,public_good,Kepulauan Tanimbar,Kormomolin,solar_biomass_hybrid,retrofit,1996,612,2312958
81.03.18.2003,37,0.8338,3,blended_finance,Kepulauan Tanimbar,Molu Maru,solar_biomass_hybrid,retrofit,2626,711,2667141
81.03.18.2004,37,0.8338,3,blended_finance,Kepulauan Tanimbar,Molu Maru,solar_biomass_hybrid,retrofit,2626,711,2667141
81.03.18.2005,37,0.8338,3,blended_finance,Kepulauan Tanimbar,Molu Maru,solar_biomass_hybrid,retrofit,2626,711,2667141
81.03.09.2001,38,0.946,2,public_good,Kepulauan Tanimbar,Nirunmas,solar_biomass_hybrid,retrofit,5437,1577,5948453
81.03.09.2002,38,0.946,2,public_good,Kepulauan Tanimbar,Nirunmas,solar_biomass_hybrid,retrofit,5437,1577,5948453
81.03.02.2005,39,0.9031,3,blended_finance,Kepulauan Tanimbar,Selaru,solar_battery,retrofit,3374,877,3295888
81.03.02.2006,39,0.9031,3,blended_finance,Kepulauan Tanimbar,Selaru,solar_battery,retrofit,3374,877,3295888
81.03.02.2007,39,0.9031,3,blended_finance,Kepulauan Tanimbar,Selaru,solar_battery,retrofit,3374,877,3295888
81.03.01.2009,40,1.0,1,public_good,Kepulauan Tanimbar,Tanimbar Selatan,wind_solar_hybrid,retrofit,3790,1018,4703160
81.03.01.2011,41,1.0,1,public_good,Kepulauan Tanimbar,Tanimbar Selatan,wind_solar_hybrid,retrofit,654,160,739200
81.03.05.2007,42,0.6609,2,public_good,Kepulauan Tanimbar,Tanimbar Utara,solar_battery,retrofit,2999,941,3524690
81.03.05.2008,42,0.6609,2,public_good,Kepulauan Tanimbar,Tanimbar Utara,solar_battery,retrofit,2999,941,3524690
81.03.04.2006,43,0.7253,3,blended_finance,Kepulauan Tanimbar,Wermaktian,wind_solar_hybrid,new_build,3747,988,4295280
81.03.04.2007,43,0.7253,3,blended_finance,Kepulauan Tanimbar,Wermaktian,wind_solar_hybrid,new_build,3747,988,4295280
81.03.04.2009,43,0.7253,3,blended_finance,Kepulauan Tanimbar,Wermaktian,wind_solar_hybrid,new_build,3747,988,4295280
81.03.03.2004,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.03.2005,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.03.2006,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.03.2007,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.03.2008,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.03.2009,44,0.7867,6,blended_finance,Kepulauan Tanimbar,Wertamrian,solar_biomass_hybrid,retrofit,8481,2389,8364776
81.03.07.2008,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.03.07.2009,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.03.07.2010,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.03.07.2011,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.03.07.2012,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.03.07.2014,45,0.7895,6,blended_finance,Kepulauan Tanimbar,Wuar Labobar,solar_biomass_hybrid,retrofit,6240,1608,6296399
81.71.01.1013,46,1.0,1,public_good,Kota Ambon,Nusaniwe,wind_solar_hybrid,retrofit,3667,1233,5696460
81.72.05.2006,47,0.9059,2,public_good,Kota Tual,Kur Selatan,solar_biomass_hybrid,new_build,1138,281,1067562
81.72.05.2007,47,0.9059,2,public_good,Kota Tual,Kur Selatan,solar_biomass_hybrid,new_build,1138,281,1067562
81.72.05.2001,48,0.8929,5,blended_finance,Kota Tual,Kur Selatan,solar_biomass_hybrid,retrofit,3001,778,3029800
81.72.05.2002,48,0.8929,5,blended_finance,Kota Tual,Kur Selatan,solar_biomass_hybrid,retrofit,3001,778,3029800
81.72.05.2003,48,0.8929,5,blended_finance,Kota Tual,Kur Selatan,solar_biomass_hybrid,retrofit,3001,778,3029800
81.72.05.2004,48,0.8929,5,blended_finance,Kota Tual,Kur Selatan,solar_biomass_hybrid,retrofit,3001,778,3029800
81.72.05.2005,48,0.8929,5,blended_finance,Kota Tual,Kur Selatan,solar_biomass_hybrid,retrofit,3001,778,3029800
81.72.04.2001,49,0.7552,3,blended_finance,Kota Tual,Pulau-Pulau Kur,solar_biomass_hybrid,retrofit,1971,566,2162653
81.72.04.2002,49,0.7552,3,blended_finance,Kota Tual,Pulau-Pulau Kur,solar_biomass_hybrid,retrofit,1971,566,2162653
81.72.04.2004,49,0.7552,3,blended_finance,Kota Tual,Pulau-Pulau Kur,solar_biomass_hybrid,retrofit,1971,566,2162653
81.72.03.2001,50,0.7862,5,blended_finance,Kota Tual,Tayando Tam,solar_biomass_hybrid,retrofit,8779,2389,8892870
81.72.03.2002,50,0.7862,5,blended_finance,Kota Tual,Tayando Tam,solar_biomass_hybrid,retrofit,8779,2389,8892870
81.72.03.2003,50,0.7862,5,blended_finance,Kota Tual,Tayando Tam,solar_biomass_hybrid,retrofit,8779,2389,8892870
81.72.03.2004,50,0.7862,5,blended_finance,Kota Tual,Tayando Tam,solar_biomass_hybrid,retrofit,8779,2389,8892870
81.72.03.2005,50,0.7862,5,blended_finance,Kota Tual,Tayando Tam,solar_biomass_hybrid,retrofit,8779,2389,8892870
81.08.04.2015,51,0.9386,3,blended_finance,Maluku Barat Daya,Babar Barat,solar_biomass_hybrid,retrofit,1158,301,1488280
81.08.04.2016,51,0.9386,3,blended_finance,Maluku Barat Daya,Babar Barat,solar_biomass_hybrid,retrofit,1158,301,1488280
81.08.04.2017,51,0.9386,3,blended_finance,Maluku Barat Daya,Babar Barat,solar_biomass_hybrid,retrofit,1158,301,1488280
81.08.04.2003,52,0.7976,3,blended_finance,Maluku Barat Daya,Babar Barat,wind_solar_hybrid,retrofit,2910,823,3968653
81.08.04.2004,52,0.7976,3,blended_finance,Maluku Barat Daya,Babar Barat,wind_solar_hybrid,retrofit,2910,823,3968653
81.08.04.2005,52,0.7976,3,blended_finance,Maluku Barat Daya,Babar Barat,wind_solar_hybrid,retrofit,2910,823,3968653
81.08.02.2003,53,0.8681,4,blended_finance,Maluku Barat Daya,Damer,solar_biomass_hybrid,retrofit,3481,969,4013011
81.08.02.2004,53,0.8681,4,blended_finance,Maluku Barat Daya,Damer,solar_biomass_hybrid,retrofit,3481,969,4013011
81.08.02.2005,53,0.8681,4,blended_finance,Maluku Barat Daya,Damer,solar_biomass_hybrid,retrofit,3481,969,4013011
81.08.02.2007,53,0.8681,4,blended_finance,Maluku Barat Daya,Damer,solar_biomass_hybrid,retrofit,3481,969,4013011
81.08.10.2001,54,0.8203,6,blended_finance,Maluku Barat Daya,Dawelor Dawera,solar_battery,retrofit,1673,508,2036841
81.08.10.2002,54,0.8203,6,blended_finance,Maluku Barat Daya,Dawelor Dawera,solar_battery,retrofit,1673,508,2036841
