n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,tech_mix_str
1,Maluku Tenggara,Kei Kecil Timur Selatan,95,1.0,wind_solar_hybrid,0,1,retrofit,0.318,359,93,24.6,111.6,279000,580320,429660,public_good,wind_solar_hybrid:1
3,Seram Bagian Barat,Amalatu,96,0.8624,micro_hydro,1,2,retrofit,0.167,7328,2013,531.4,1181.0,4357330,9063247,6710288,blended_finance,micro_hydro:3
3,Seram Bagian Barat,Amalatu,97,0.7136,solar_biomass_hybrid,1,2,retrofit,0.197,2626,678,179.0,638.9,1839272,3432805,2636039,blended_finance,solar_biomass_hybrid:2; micro_hydro:1
1,Seram Bagian Barat,Amalatu,98,1.0,micro_hydro,0,1,retrofit,0.273,5004,1385,365.6,812.5,2691377,5598065,4144721,public_good,micro_hydro:1
6,Seram Bagian Barat,Elpaputih,99,0.8314,micro_hydro,1,5,retrofit,0.205,5870,1501,396.3,880.5,3137413,6525817,4831616,blended_finance,micro_hydro:6
1,Seram Bagian Barat,Huamual,100,1.0,solar_battery,0,1,retrofit,0.591,1097,298,78.7,437.1,837977,1452494,1145236,public_good,solar_battery:1
2,Seram Bagian Barat,Huamual Belakang,101,0.8116,solar_biomass_hybrid,0,2,retrofit,0.273,6011,1498,395.5,1581.9,4597875,8368132,6483003,public_good,solar_biomass_hybrid:2
1,Seram Bagian Barat,Huamual Belakang,102,1.0,micro_hydro,0,1,retrofit,0.5,1366,363,95.8,213.0,688687,1432468,1060578,public_good,micro_hydro:1
1,Seram Bagian Barat,Huamual Belakang,103,1.0,micro_hydro,0,1,retrofit,0.273,9029,2173,573.7,1274.8,4499332,9358612,6928972,public_good,micro_hydro:1
2,Seram Bagian Barat,Inamosol,104,0.96,micro_hydro,0,2,retrofit,0.227,2227,555,146.5,325.6,1131544,2353613,1742579,public_good,micro_hydro:2
6,Seram Bagian Barat,Taniwel,105,0.8348,micro_hydro,0,6,retrofit,0.25,10247,2583,681.9,1515.4,5240076,10899359,8069717,blended_finance,micro_hydro:6
10,Seram Bagian Barat,Taniwel,106,0.7923,micro_hydro,2,8,retrofit,0.205,5950,1506,397.6,994.4,3303194,6688332,4995761,blended_finance,micro_hydro:8; solar_biomass_hybrid:2
1,Seram Bagian Barat,Taniwel,107,1.0,solar_biomass_hybrid,0,1,retrofit,0.591,812,205,54.1,216.5,541250,985075,763162,public_good,solar_biomass_hybrid:1
7,Seram Bagian Barat,Taniwel Timur,108,0.8975,micro_hydro,0,7,retrofit,0.26,4058,1110,293.0,651.1,2397290,4986362,3691827,blended_finance,micro_hydro:7
6,Seram Bagian Barat,Taniwel Timur,109,0.8746,solar_biomass_hybrid,0,6,retrofit,0.432,3824,1049,276.9,1107.7,2834999,5159696,3997348,blended_finance,solar_biomass_hybrid:6
2,Seram Bagian Timur,Bula Barat,110,0.9536,micro_hydro,0,2,retrofit,0.205,972,290,76.6,170.2,547657,1139126,843391,public_good,micro_hydro:2
8,Seram Bagian Timur,Bula Barat,111,0.7214,solar_battery,0,8,retrofit,0.5,6747,2053,542.0,2667.0,5553686,9818120,7685904,blended_finance,solar_battery:5; solar_biomass_hybrid:3
6,Seram Bagian Timur,Gorom Timur,112,0.7981,solar_biomass_hybrid,0,6,retrofit,0.621,3041,847,223.6,915.0,2263993,4108555,3186275,blended_finance,solar_biomass_hybrid:5; solar_battery:1
4,Seram Bagian Timur,Kian Darat,113,0.8545,solar_biomass_hybrid,1,3,retrofit,0.216,3212,843,222.6,890.3,2233948,4065786,3149867,blended_finance,solar_biomass_hybrid:4
6,Seram Bagian Timur,Kilmury,114,0.9325,micro_hydro,0,6,retrofit,0.182,3516,997,263.2,585.0,1898040,3947923,2922981,blended_finance,micro_hydro:6
7,Seram Bagian Timur,Kilmury,115,0.9028,solar_biomass_hybrid,1,6,retrofit,0.195,3251,883,233.1,932.5,2359748,4294742,3327245,blended_finance,solar_biomass_hybrid:7
4,Seram Bagian Timur,Pulau Gorom,116,0.858,solar_biomass_hybrid,0,4,retrofit,0.5,1331,409,108.0,431.8,1087460,1979177,1533319,blended_finance,solar_biomass_hybrid:4
1,Seram Bagian Timur,Pulau Gorom,117,1.0,solar_biomass_hybrid,0,1,retrofit,0.227,8469,2128,561.8,2247.2,5823744,10599214,8211479,public_good,solar_biomass_hybrid:1
2,Seram Bagian Timur,Pulau Panjang,118,0.9231,solar_biomass_hybrid,0,2,retrofit,0.523,335,103,27.2,108.7,271750,494585,383168,public_good,solar_biomass_hybrid:2
3,Seram Bagian Timur,Pulau Panjang,119,0.823,solar_battery,0,3,retrofit,0.212,2422,648,171.1,853.9,1756188,3097835,2427012,blended_finance,solar_battery:2; solar_biomass_hybrid:1
5,Seram Bagian Timur,Seram Timur,120,0.7908,solar_battery,0,5,retrofit,0.536,2476,709,187.2,1039.8,1949626,3379350,2664487,blended_finance,solar_battery:5
6,Seram Bagian Timur,Seram Timur,121,0.742,solar_biomass_hybrid,0,6,retrofit,0.258,3641,1003,264.8,1245.6,2773144,4936266,3854705,blended_finance,solar_biomass_hybrid:5; solar_battery:1
8,Seram Bagian Timur,Siritaun Wida Timur,122,0.8068,solar_biomass_hybrid,1,7,retrofit,0.216,5528,1566,413.4,1595.4,4161630,7634221,5897925,blended_finance,solar_biomass_hybrid:7; micro_hydro:1
11,Seram Bagian Timur,Siwalalat,123,0.836,micro_hydro,1,10,retrofit,0.186,6359,1846,487.3,1129.4,3702442,7633150,5667794,blended_finance,micro_hydro:10; solar_biomass_hybrid:1
1,Seram Bagian Timur,Siwalalat,124,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,899,261,68.9,275.6,750692,1366260,1058476,public_good,solar_biomass_hybrid:1
3,Seram Bagian Timur,Teluk Waru,125,0.9425,micro_hydro,3,0,new_build,0.136,1987,532,140.4,312.1,1004459,2089276,1546868,blended_finance,micro_hydro:3
4,Seram Bagian Timur,Teluk Waru,126,0.7873,solar_biomass_hybrid,0,4,retrofit,0.205,1920,466,123.0,536.0,1241938,2234830,1738383,blended_finance,solar_biomass_hybrid:3; solar_battery:1
6,Seram Bagian Timur,Teor,127,0.8764,solar_biomass_hybrid,0,6,retrofit,0.273,2538,696,183.7,735.1,2021745,3679576,2850661,blended_finance,solar_biomass_hybrid:6
2,Seram Bagian Timur,Tutuk Tolu,128,0.9203,solar_biomass_hybrid,0,2,retrofit,0.455,1377,396,104.5,418.1,1072969,1952804,1512887,public_good,solar_biomass_hybrid:2
8,Seram Bagian Timur,Tutuk Tolu,129,0.8652,solar_biomass_hybrid,0,8,retrofit,0.193,6767,1906,503.2,1936.5,4967092,9118497,7042795,blended_finance,solar_biomass_hybrid:7; micro_hydro:1
2,Seram Bagian Timur,Wakate,130,0.9391,solar_biomass_hybrid,0,2,retrofit,0.591,1862,520,137.3,549.1,1489328,2710576,2099952,public_good,solar_biomass_hybrid:2
9,Seram Bagian Timur,Wakate,131,0.8669,solar_biomass_hybrid,1,8,retrofit,0.258,4991,1463,386.2,1544.9,4209364,7661042,5935203,blended_finance,solar_biomass_hybrid:9
7,Seram Bagian Timur,Werinama,132,0.7428,solar_biomass_hybrid,6,1,new_build,0.136,3862,1192,314.7,1044.7,2884654,5478856,4181757,blended_finance,solar_biomass_hybrid:4; micro_hydro:3
1,Seram Bagian Timur,Werinama,133,1.0,micro_hydro,1,0,new_build,0.136,2344,751,198.3,440.6,1464044,3045211,2254628,public_good,micro_hydro:1
