kode_desa,name,kecamatan,kabupaten,l1_class,tech,pop_2017,hh_2017,pop_2026,hh_2026,growth_pct,density,lit_fraction,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,dist_grid_m,hydro_kw,wind50,feedstock,slope_deg
81.05.09.2004,Magat,Pulau Panjang,Seram Bagian Timur,intermittent,solar_biomass_hybrid,112,37,142,47,2.6666666666666665,144.89795918367346,0.4545454545454545,12.408,49.6,124000.0,225680.0,174840.0,18443.137354701208,0.060993976890183,,0.8987307219871709,2.024180067555871
81.05.09.2006,Perik Basaranggi,Pulau Panjang,Seram Bagian Timur,intermittent,solar_biomass_hybrid,148,43,193,56,3.0,92.78846153846153,0.5909090909090909,14.784,59.1,147750.0,268905.0,208328.0,17420.686360796753,0.398687892228434,,0.9101481272302518,2.205008377442109
81.05.10.2001,Teor,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,460,126,494,135,0.8,158.33333333333331,0.1818181818181818,35.64,142.6,373944.0,680578.0,527261.0,87443.6149898,1.190080673107723,,0.9799872011169932,9.893087592021788
81.05.10.2002,Kartutin Kartenga,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,176,46,204,53,1.6666666666666667,136.0,0.3636363636363636,13.991999999999999,56.0,161593.0,294099.0,227846.0,90134.74428295188,1.190080673107723,,0.9265086206896552,17.71176071815854
81.05.10.2004,Duryar Rumoy,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,525,158,646,194,2.3333333333333335,209.06148867313917,0.2727272727272727,51.216,204.9,586169.0,1066827.0,826498.0,87226.8105483486,1.983467788512872,,0.9405375139977604,17.215085362412584
81.05.10.2005,Lapang Kampung Jawa,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,216,59,251,68,1.6666666666666667,67.83783783783784,0.3636363636363636,17.952,71.8,186766.0,339915.0,263340.0,90552.814306935,1.5867742308102974,,0.9638003959683228,9.048172999533508
81.05.10.2007,Kampung Baru,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,165,44,180,48,1.0,90.45226130653266,0.2272727272727272,12.672,50.7,133262.0,242537.0,187900.0,91908.11973786648,0.787936853498714,,0.9957940821998672,10.137663456086434
81.05.10.2009,Kiliwouw,Teor,Seram Bagian Timur,intermittent,solar_biomass_hybrid,677,176,763,198,1.3333333333333333,146.44913627639156,0.2272727272727272,52.272000000000006,209.1,580011.0,1055620.0,817816.0,92390.98109985492,0.978474589373094,,0.9578040988077612,15.476881193927277
81.05.11.2004,Amarwatu,Gorom Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,819,232,950,269,1.6666666666666667,719.6969696969696,0.5,71.01599999999999,284.1,716273.0,1303617.0,1009945.0,8861.5669484155,0.451859388558229,,0.9480707686733896,5.848019586983057
81.05.11.2005,Aran,Gorom Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,472,115,548,133,1.6666666666666667,928.8135593220339,0.7272727272727273,35.112,140.4,362001.0,658842.0,510422.0,5564.759723586456,3.0721100296148163,,0.9089766857461958,8.134151237982516
81.05.11.2008,Tunas Ilur,Gorom Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,273,83,299,91,1.0,711.9047619047619,0.6363636363636364,24.024,96.1,240250.0,437255.0,338752.0,10651.48345302193,0.1882557178333459,,0.9410699359152968,4.878029021486034
81.05.11.2009,Sagey,Gorom Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,571,166,643,187,1.3333333333333333,3215.0,0.6363636363636364,49.368,197.5,499031.0,908236.0,703634.0,10581.512598631634,0.2345514938166363,,0.9370034052213396,6.06955277644321
81.05.11.2012,Basarin,Gorom Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,344,101,399,117,1.6666666666666667,1900.0,0.5909090909090909,30.888,123.6,309000.0,562380.0,435690.0,9177.41456647786,,,0.7346615349784923,3.622445854723834
81.05.11.2013,Goha,Gorom Timur,Seram Bagian Timur,intermittent,solar_battery,169,42,202,50,2.0,1010.0,0.6363636363636364,13.200000000000001,73.3,137438.0,238225.0,187832.0,8805.504122954857,0.0772579671469864,,0.66921454928835,2.005917595230252
81.05.12.2001,Hote,Bula Barat,Seram Bagian Timur,intermittent,micro_hydro,369,112,428,130,1.6666666666666667,1.1738569978881543,0.1818181818181818,34.32,76.3,245355.0,510338.0,377846.0,5828.72443029991,40.295007059588585,2.1342804740956143,0.9452728212327896,7.901059239715926
81.05.12.2002,Banggoi,Bula Barat,Seram Bagian Timur,intermittent,micro_hydro,442,130,544,160,2.3333333333333335,2.924573947637224,0.2272727272727272,42.24,93.9,302302.0,628788.0,465545.0,12449.41169543766,38.95140824545483,2.032262044484164,0.9320068126156278,8.020840918331581
81.05.12.2003,Waematakabo,Bula Barat,Seram Bagian Timur,intermittent,solar_battery,724,251,840,291,1.6666666666666667,54.263565891472865,0.4545454545454545,76.82400000000001,426.8,800250.0,1387100.0,1093675.0,11836.789379409434,11.240085691833627,2.064444934047516,0.6880007157075443,2.358114671392911
81.05.12.2004,Waiketam Baru,Bula Barat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,1253,386,1454,448,1.6666666666666667,104.83056957462149,0.5909090909090909,118.272,473.1,1182750.0,2152605.0,1667678.0,16501.123717416944,13.2516272478296,2.177802107332645,0.8647117104449988,3.4256698402116403
81.05.12.2005,Waisamet,Bula Barat,Seram Bagian Timur,intermittent,solar_battery,855,264,992,306,1.6666666666666667,131.73970783532536,0.5909090909090909,80.784,448.8,841500.0,1458600.0,1150050.0,10469.483337001402,10.721653192224714,2.002697530713341,0.498771159528346,2.3855146139959458
81.05.12.2006,Aki Jaya,Bula Barat,Seram Bagian Timur,intermittent,solar_battery,805,227,962,271,2.0,146.87022900763358,0.5909090909090909,71.54400000000001,397.5,745312.0,1291875.0,1018594.0,11496.889222606043,9.302806058133548,,0.5871802777151937,2.027285378073067
81.05.12.2009,Sumber Agung,Bula Barat,Seram Bagian Timur,intermittent,solar_battery,776,224,927,268,2.0,115.15527950310558,0.4090909090909091,70.752,393.1,737062.0,1277575.0,1007318.0,13952.28740487111,9.566848650419358,2.8652309719187152,0.6734139153291651,2.7369286512294675
81.05.12.2011,Jembatan Basah,Bula Barat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,663,199,725,218,1.0,143.56435643564356,0.5,57.55200000000001,230.2,575500.0,1047410.0,811455.0,5199.005665148866,10.71635999410806,2.5897852177160625,0.7459105611350844,2.3348682933129847
81.05.12.2012,Dreamland Hills,Bula Barat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,474,140,583,172,2.3333333333333335,3.7343069433768896,0.5909090909090909,45.407999999999994,181.6,454000.0,826280.0,640140.0,18451.98953661569,16.53331568771346,2.4971051725544817,0.8131984099507383,3.2984233332750823
81.05.12.2013,Banggoi Pancorang,Bula Barat,Seram Bagian Timur,intermittent,solar_battery,191,57,264,79,3.6666666666666665,2.574605032182563,0.2727272727272727,20.856,115.9,217312.0,376675.0,296994.0,12126.88694982146,11.163452840031438,,0.66316529423579,2.373854531828646
81.05.13.2005,Kelaba,Kian Darat,Seram Bagian Timur,dark_settled,solar_biomass_hybrid,634,163,736,189,1.6666666666666667,168.0365296803653,0.1363636363636363,49.895999999999994,199.6,500248.0,910451.0,705350.0,23018.54160101156,19.37018646165457,,0.9844714141795744,5.250104749921185
81.05.13.2006,Kilga Kilwouw,Kian Darat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,814,209,945,243,1.6666666666666667,250.0,0.1818181818181818,64.152,256.6,641500.0,1167530.0,904515.0,24245.68730723054,19.4874479059505,,0.9685468542514688,4.93531020905626
81.05.13.2007,Kilga Watubau,Kian Darat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,968,261,1091,294,1.3333333333333333,340.9375,0.2727272727272727,77.616,310.5,776250.0,1412775.0,1094512.0,25987.50912397627,16.403593400287498,2.531598592854177,0.9752587542609232,4.898098164468471
81.05.13.2009,Kileser,Kian Darat,Seram Bagian Timur,intermittent,solar_biomass_hybrid,379,101,440,117,1.6666666666666667,161.17216117216117,0.2727272727272727,30.888,123.6,315950.0,575030.0,445490.0,27709.281879566097,7.717849652751213,2.531598592854177,1.0,7.249323093316457
81.05.14.2002,Kuwaos,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,885,266,997,300,1.3333333333333333,57.497116493656286,0.2272727272727272,79.2,316.8,843121.0,1534479.0,1188800.0,11967.672491967684,14.76553810104745,3.582030023727613,0.983971318904087,11.45461713986824
81.05.14.2003,Salagor Air,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,645,174,794,214,2.3333333333333335,83.40336134453781,0.1818181818181818,56.495999999999995,226.0,589043.0,1072058.0,830550.0,19818.970193510308,4.149411311370676,,0.9872397709605248,9.255353754592337
81.05.14.2004,Salagor Kota,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,656,189,831,240,2.6666666666666665,70.3640982218459,0.1818181818181818,63.36,253.4,669392.0,1218294.0,943843.0,18706.031014421525,2.5461096876520104,,0.996450412692982,10.665710907067773
81.05.14.2005,Aruan Gaur,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,540,144,608,162,1.3333333333333333,55.12239347234814,0.1818181818181818,42.768,171.1,427750.0,778505.0,603128.0,21382.96216836549,16.207535955401973,,0.962393363074274,3.713821789525392
81.05.14.2006,Keta Rumadan,Siritaun Wida Timur,Seram Bagian Timur,dark_settled,micro_hydro,359,104,429,124,2.0,70.44334975369458,0.0909090909090909,32.736,72.7,230976.0,480430.0,355703.0,16487.780889381385,32.84268134340152,3.582030023727613,0.996874507330916,6.6675979529443055
81.05.14.2007,Lian Tasik,Siritaun Wida Timur,Seram Bagian Timur,intermittent,solar_biomass_hybrid,667,181,751,204,1.3333333333333333,48.482892188508714,0.2272727272727272,53.855999999999995,215.4,548776.0,998773.0,773774.0,14775.510462840191,22.807858250310694,3.582030023727613,0.9904259484244388,6.908338024301796
