kode_desa,month,radiance
81.01.02.2002,2024-09,0.5135639116952294
81.01.02.2002,2024-10,0.4387443499905722
81.01.02.2002,2024-11,0.5200451054519281
81.01.02.2002,2024-12,0.41848120516852333
81.01.02.2002,2025-01,0.0
81.01.02.2002,2025-02,0.0
81.01.02.2002,2025-03,0.007030075340342701
81.01.02.2002,2025-04,0.564165416203047
81.01.02.2002,2025-05,0.15780450275966101
81.01.02.2002,2025-06,0.10260902089732037
81.01.02.2002,2025-07,0.340225568268084
81.01.02.2002,2025-08,0.32057142928802884
81.01.02.2002,2025-09,0.4229999969552335
81.01.02.2002,2025-10,0.4140300713087384
81.01.02.2002,2025-11,0.4529097654989788
81.01.02.2002,2025-12,1.1256014986369844
81.01.02.2002,2026-01,0.32112030008233583
81.01.02.2002,2026-02,0.0
81.01.02.2002,2026-03,0.0
81.01.02.2002,2026-04,0.7841954884224369
81.01.02.2002,2026-05,
81.01.02.2002,2026-06,
81.01.02.2003,2024-07,0.43989056252992914
81.01.02.2003,2024-08,0.7662038339961895
81.01.02.2003,2024-09,0.5402941136288415
81.01.02.2003,2024-10,0.5379685298036453
81.01.02.2003,2024-11,0.6094870067286915
81.01.02.2003,2024-12,0.6258892031276927
81.01.02.2003,2025-01,0.0
81.01.02.2003,2025-02,0.0
81.01.02.2003,2025-03,0.013290014031321504
81.01.02.2003,2025-04,0.6664911074571506
81.01.02.2003,2025-05,0.07762653577344036
81.01.02.2003,2025-06,0.0
81.01.02.2003,2025-07,0.4235225736014494
81.01.02.2003,2025-08,0.3240697691076921
81.01.02.2003,2025-09,0.4715116290036696
81.01.02.2003,2025-10,0.5485636191353426
81.01.02.2003,2025-11,0.5638030056832753
81.01.02.2003,2025-12,1.4025649817102421
81.01.02.2003,2026-01,0.5025854935275872
81.01.02.2003,2026-02,0.0
81.01.02.2003,2026-03,0.0
81.01.02.2003,2026-04,1.0226949310253812
81.01.02.2003,2026-05,
81.01.02.2003,2026-06,
81.01.02.2004,2024-07,0.4612759960593482
81.01.02.2004,2024-08,0.6086200245414879
81.01.02.2004,2024-09,0.5643950838785765
81.01.02.2004,2024-10,0.445406421765488
81.01.02.2004,2024-11,0.4501984891515148
81.01.02.2004,2024-12,0.49545368908540066
81.01.02.2004,2025-01,0.0016446124290473518
81.01.02.2004,2025-02,0.0
81.01.02.2004,2025-03,0.28282136089804044
81.01.02.2004,2025-04,0.5821786410895324
81.01.02.2004,2025-05,0.030028354552607904
81.01.02.2004,2025-06,0.0
81.01.02.2004,2025-07,0.35804347994619357
81.01.02.2004,2025-08,0.2690122865302406
81.01.02.2004,2025-09,0.47031663468068846
81.01.02.2004,2025-10,0.4466966006109078
81.01.02.2004,2025-11,0.4226086935158712
81.01.02.2004,2025-12,0.760954626524268
81.01.02.2004,2026-01,0.4342249547516916
81.01.02.2004,2026-02,0.0
81.01.02.2004,2026-03,0.0
81.01.02.2004,2026-04,0.8130198580218173
81.01.02.2004,2026-05,
81.01.02.2004,2026-06,
81.01.02.2005,2024-07,0.5542553274592709
81.01.02.2005,2024-08,0.6434793413356787
81.01.02.2005,2024-09,0.5314392929008518
81.01.02.2005,2024-10,0.5489612015451448
81.01.02.2005,2024-11,0.5542052400500068
81.01.02.2005,2024-12,0.46997495956056856
81.01.02.2005,2025-01,0.0010012515793753804
81.01.02.2005,2025-02,0.0
81.01.02.2005,2025-03,0.4131539410285567
81.01.02.2005,2025-04,0.5885481844109499
81.01.02.2005,2025-05,0.4046057533188368
81.01.02.2005,2025-06,0.0
81.01.02.2005,2025-07,0.38101376397290426
81.01.02.2005,2025-08,0.3710012499695278
81.01.02.2005,2025-09,0.5991739672101634
81.01.02.2005,2025-10,0.5287108813716712
81.01.02.2005,2025-11,0.4998873543828838
81.01.02.2005,2025-12,1.3828160212991834
81.01.02.2005,2026-01,0.10871088758428046
81.01.02.2005,2026-02,0.0
81.01.02.2005,2026-03,0.0
